"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 01- 30","58.45","58.11","58.61","58.08","2.46M","0.34%"
"2024- 01- 29","58.25","58.32","58.50","57.55","2.36M","-0.63%"
"2024- 01- 26","58.62","58.40","58.71","58.10","1.68M","0.43%"
"2024- 01- 25","58.37","58.46","58.59","57.44","1.66M","0.29%"
"2024- 01- 24","58.20","58.73","58.86","58.15","1.92M","-0.31%"
"2024- 01- 23","58.38","58.26","58.82","58.03","1.80M","0.38%"
"2024- 01- 22","58.16","58.13","58.45","57.69","2.02M","0.54%"
"2024- 01- 19","57.85","57.03","57.98","56.90","2.18M","1.79%"
"2024- 01- 18","56.83","56.24","56.89","55.90","1.86M","1.28%"
"2024- 01- 17","56.11","55.98","56.45","55.83","2.94M","-0.62%"
"2024- 01- 16","56.46","56.50","57.34","56.33","3.53M","-0.83%"
"2024- 01- 12","56.93","56.95","57.01","56.38","1.84M","0.69%"
"2024- 01- 11","56.54","56.97","57.10","56.28","2.19M","-0.62%"
"2024- 01- 10","56.89","56.48","56.94","56.19","2.78M","0.92%"
"2024- 01- 09","56.37","56.56","56.67","56.26","2.46M","-0.60%"
"2024- 01- 08","56.71","55.77","56.74","55.76","3.02M","1.87%"
"2024- 01- 05","55.67","56.01","56.19","55.44","1.98M","-0.64%"
"2024- 01- 04","56.03","56.01","56.53","56.01","2.01M","0.07%"
"2024- 01- 03","55.99","56.51","56.78","55.85","2.43M","-1.60%"
"2024- 01- 02","56.90","58.00","58.00","56.62","1.92M","-2.13%"
"2023- 12- 29","58.14","58.20","58.35","57.79","1.52M","-0.17%"
"2023- 12- 28","58.24","57.99","58.37","57.99","1.17M","0.43%"
"2023- 12- 27","57.99","57.59","58.02","57.42","1.34M","0.62%"
"2023- 12- 26","57.63","57.04","57.70","56.95","1.31M","1.03%"
"2023- 12- 22","57.04","56.36","57.15","56.17","2.33M","1.69%"
"2023- 12- 21","56.09","55.31","56.12","55.13","1.82M","1.70%"
"2023- 12- 20","55.15","55.74","56.17","55.12","2.03M","-1.09%"
"2023- 12- 19","55.76","55.53","55.78","55.18","2.06M","0.69%"
"2023- 12- 18","55.38","55.00","55.56","54.62","2.62M","1.17%"
"2023- 12- 15","54.74","55.31","55.64","54.54","5.72M","-2.44%"
"2023- 12- 14","56.11","56.93","57.72","55.94","4.17M","-0.50%"
"2023- 12- 13","56.39","54.23","56.44","54.03","4.13M","4.10%"
"2023- 12- 12","54.17","54.39","54.45","53.87","2.63M","-0.09%"
"2023- 12- 11","54.22","54.16","54.36","53.92","2.30M","0.46%"
"2023- 12- 08","53.97","54.06","54.39","53.62","2.07M","-0.30%"
"2023- 12- 07","54.13","55.05","55.19","54.04","2.87M","-3.06%"
"2023- 12- 06","55.84","55.90","56.32","55.72","2.43M","0.22%"
"2023- 12- 05","55.72","56.10","56.18","55.32","2.53M","-0.91%"
"2023- 12- 04","56.23","55.71","56.61","55.71","3.86M","0.59%"
"2023- 12- 01","55.90","55.75","56.25","55.61","2.17M","0.11%"
"2023- 11- 30","55.84","55.81","55.93","55.15","4.27M","0.25%"
"2023- 11- 29","55.70","55.70","56.15","55.56","2.91M","0.22%"
"2023- 11- 28","55.58","55.07","55.87","55.04","2.22M","0.80%"
"2023- 11- 27","55.14","55.26","55.30","54.97","1.79M","-0.29%"
"2023- 11- 24","55.30","55.16","55.40","55.01","879.51K","0.31%"
"2023- 11- 22","55.13","54.80","55.23","54.80","1.94M","0.93%"
"2023- 11- 21","54.62","54.06","54.76","53.92","1.76M","0.89%"
"2023- 11- 20","54.14","53.50","54.38","53.36","2.41M","1.23%"
"2023- 11- 17","53.48","53.61","53.78","53.36","1.82M","-0.11%"
"2023- 11- 16","53.54","53.41","53.83","53.37","1.88M","0.41%"
"2023- 11- 15","53.32","53.40","53.75","53.17","2.42M","0.40%"
